Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.1855	0.1165	0.0000	0.0000	0.0000	0.0000
2	0.1070	0.0984	0.0000	0.0000	0.0000	0.0000
3	0.0915	0.0905	0.0001	0.0000	0.0359	0.0010
4	0.0808	0.0827	0.0648	0.0394	0.3950	0.1031
5	0.0717	0.0775	0.1349	0.0863	0.5007	0.1831
6	0.0638	0.0709	0.2448	0.1707	0.6161	0.2935
7	0.0557	0.0677	0.3002	0.2171	0.6259	0.3418
8	0.0481	0.0635	0.3449	0.2526	0.6743	0.3879
9	0.0407	0.0611	0.4282	0.3502	0.6235	0.4479
10	0.0346	0.0620	0.4707	0.4426	0.5393	0.4721
11	0.0288	0.0551	0.4839	0.3887	0.7196	0.5098
12	0.0242	0.0523	0.5282	0.4353	0.7312	0.5483
13	0.0201	0.0483	0.5625	0.4630	0.7706	0.5827
14	0.0169	0.0512	0.5572	0.4406	0.8348	0.5888
15	0.0142	0.0427	0.6396	0.5657	0.7761	0.6495
16	0.0118	0.0439	0.6652	0.6572	0.6980	0.6657
17	0.0101	0.0449	0.6760	0.6938	0.6846	0.6769
18	0.0089	0.0399	0.6967	0.6568	0.7742	0.7011
19	0.0076	0.0397	0.7064	0.6471	0.8097	0.7127
20	0.0070	0.0422	0.6814	0.5775	0.8749	0.6986
21	0.0060	0.0407	0.7055	0.6127	0.8670	0.7182
22	0.0053	0.0386	0.7334	0.6536	0.8708	0.7436
23	0.0047	0.0374	0.7428	0.6976	0.8241	0.7477
24	0.0042	0.0355	0.7680	0.7406	0.8229	0.7711
25	0.0037	0.0351	0.7759	0.7502	0.8276	0.7788
26	0.0035	0.0362	0.7676	0.7392	0.8237	0.7706
27	0.0036	0.0351	0.7778	0.7506	0.8276	0.7798
28	0.0031	0.0362	0.7750	0.7272	0.8576	0.7802
29	0.0027	0.0372	0.7733	0.7031	0.8923	0.7818
30	0.0024	0.0336	0.7987	0.7606	0.8609	0.8015
31	0.0025	0.0346	0.7877	0.7539	0.8506	0.7915
32	0.0022	0.0359	0.7798	0.7282	0.8631	0.7843
33	0.0020	0.0341	0.7913	0.7836	0.8204	0.7932
34	0.0022	0.0362	0.7936	0.7399	0.8855	0.7998
35	0.0014	0.0321	0.8243	0.7815	0.8948	0.8285
36	0.0010	0.0347	0.8192	0.7729	0.8953	0.8239
37	0.0009	0.0329	0.8305	0.7905	0.8940	0.8337
38	0.0009	0.0326	0.8269	0.7887	0.8879	0.8299
39	0.0008	0.0354	0.8254	0.7962	0.8773	0.8283
40	0.0007	0.0343	0.8319	0.7941	0.8934	0.8352
41	0.0007	0.0346	0.8350	0.8138	0.8768	0.8376
42	0.0008	0.0358	0.8297	0.7924	0.8903	0.8328
43	0.0007	0.0340	0.8336	0.8101	0.8763	0.8358
44	0.0007	0.0357	0.8271	0.7874	0.8914	0.8306
45	0.0007	0.0354	0.8341	0.8006	0.8901	0.8372
46	0.0005	0.0360	0.8360	0.7919	0.9054	0.8398
47	0.0004	0.0352	0.8395	0.8055	0.8947	0.8423
48	0.0004	0.0370	0.8285	0.7723	0.9168	0.8340
49	0.0004	0.0362	0.8414	0.8314	0.8682	0.8431
50	0.0004	0.0365	0.8432	0.8115	0.8956	0.8460
51	0.0003	0.0374	0.8415	0.8008	0.9058	0.8450
52	0.0004	0.0384	0.8405	0.7999	0.9044	0.8439
53	0.0003	0.0388	0.8410	0.8036	0.9014	0.8443
54	0.0003	0.0379	0.8452	0.8102	0.9018	0.8482
55	0.0003	0.0378	0.8445	0.8150	0.8937	0.8470
56	0.0003	0.0387	0.8420	0.8053	0.9010	0.8452
57	0.0003	0.0384	0.8452	0.8231	0.8857	0.8474
58	0.0003	0.0378	0.8483	0.8303	0.8842	0.8504
59	0.0003	0.0401	0.8422	0.8047	0.9039	0.8458
60	0.0003	0.0396	0.8437	0.8136	0.8947	0.8465
61	0.0002	0.0405	0.8438	0.8138	0.8952	0.8468
62	0.0003	0.0394	0.8372	0.8055	0.8917	0.8404
63	0.0002	0.0386	0.8441	0.8151	0.8932	0.8467
64	0.0002	0.0419	0.8394	0.7933	0.9122	0.8437
65	0.0002	0.0406	0.8442	0.8073	0.9030	0.8473
66	0.0002	0.0433	0.8357	0.7926	0.9066	0.8402
67	0.0001	0.0409	0.8473	0.8195	0.8950	0.8499
68	0.0001	0.0400	0.8471	0.8173	0.8968	0.8497
