Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.0286	0.0263	0.0876	0.7164	0.0473	0.1258
2	0.0238	0.0231	0.1253	0.7145	0.0699	0.1768
3	0.0195	0.0203	0.1255	0.8497	0.0687	0.1956
4	0.0152	0.0178	0.1572	0.8600	0.0878	0.2350
5	0.0114	0.0158	0.1823	0.9015	0.1029	0.2687
6	0.0088	0.0147	0.2087	0.9150	0.1196	0.2980
7	0.0070	0.0184	0.3692	0.7988	0.2465	0.4206
8	0.0058	0.0170	0.3844	0.8402	0.2555	0.4408
9	0.0047	0.0154	0.3877	0.8768	0.2543	0.4505
10	0.0040	0.0184	0.4652	0.8404	0.3293	0.5076
11	0.0033	0.0138	0.3628	0.9207	0.2309	0.4378
12	0.0029	0.0149	0.4587	0.8957	0.3166	0.5127
13	0.0024	0.0194	0.5662	0.8494	0.4353	0.5929
14	0.0022	0.0157	0.5001	0.9020	0.3548	0.5477
15	0.0019	0.0184	0.5921	0.8757	0.4589	0.6191
16	0.0017	0.0160	0.5206	0.9041	0.3755	0.5650
17	0.0015	0.0175	0.5638	0.9042	0.4203	0.6005
18	0.0014	0.0215	0.6696	0.8620	0.5618	0.6834
19	0.0013	0.0180	0.5927	0.9047	0.4535	0.6248
20	0.0010	0.0282	0.7390	0.8125	0.6911	0.7404
21	0.0012	0.0190	0.6500	0.8807	0.5277	0.6689
22	0.0011	0.0201	0.6871	0.8872	0.5740	0.7018
23	0.0010	0.0159	0.4816	0.9265	0.3360	0.5371
24	0.0009	0.0239	0.7224	0.8612	0.6365	0.7300
25	0.0006	0.0208	0.7181	0.8968	0.6134	0.7306
26	0.0004	0.0244	0.7865	0.8755	0.7270	0.7899
27	0.0004	0.0245	0.7868	0.8792	0.7250	0.7905
28	0.0004	0.0244	0.7860	0.8805	0.7232	0.7900
29	0.0004	0.0252	0.7939	0.8751	0.7395	0.7969
30	0.0003	0.0224	0.7202	0.9033	0.6131	0.7333
31	0.0004	0.0238	0.7509	0.8979	0.6581	0.7595
32	0.0004	0.0223	0.7225	0.9008	0.6181	0.7351
33	0.0003	0.0278	0.8139	0.8719	0.7763	0.8157
34	0.0003	0.0260	0.7971	0.8826	0.7412	0.8008
35	0.0003	0.0238	0.7448	0.9005	0.6494	0.7547
36	0.0003	0.0234	0.7325	0.8944	0.6339	0.7428
37	0.0003	0.0241	0.7532	0.8944	0.6647	0.7614
38	0.0003	0.0258	0.8020	0.8908	0.7427	0.8057
39	0.0002	0.0264	0.8118	0.8904	0.7589	0.8148
40	0.0002	0.0265	0.8116	0.8922	0.7572	0.8147
41	0.0002	0.0268	0.8125	0.8908	0.7600	0.8156
42	0.0002	0.0288	0.8373	0.8819	0.8094	0.8387
43	0.0002	0.0290	0.8327	0.8809	0.8025	0.8343
44	0.0002	0.0281	0.8281	0.8866	0.7901	0.8302
45	0.0002	0.0290	0.8332	0.8852	0.8000	0.8350
46	0.0001	0.0277	0.8235	0.8921	0.7780	0.8262
47	0.0001	0.0286	0.8316	0.8874	0.7953	0.8336
48	0.0001	0.0282	0.8268	0.8902	0.7851	0.8292
49	0.0001	0.0296	0.8386	0.8838	0.8106	0.8402
50	0.0001	0.0286	0.8333	0.8888	0.7970	0.8352
51	0.0001	0.0281	0.8270	0.8913	0.7842	0.8294
52	0.0001	0.0284	0.8285	0.8908	0.7875	0.8308
53	0.0001	0.0291	0.8395	0.8861	0.8101	0.8410
54	0.0001	0.0294	0.8405	0.8853	0.8128	0.8421
55	0.0001	0.0297	0.8393	0.8858	0.8100	0.8409
56	0.0001	0.0291	0.8342	0.8879	0.7995	0.8361
57	0.0001	0.0289	0.8326	0.8896	0.7954	0.8346
58	0.0001	0.0304	0.8448	0.8828	0.8223	0.8461
59	0.0001	0.0307	0.8437	0.8803	0.8229	0.8451
60	0.0001	0.0304	0.8440	0.8845	0.8199	0.8455
61	0.0001	0.0299	0.8399	0.8870	0.8107	0.8417
62	0.0001	0.0311	0.8495	0.8809	0.8324	0.8506
63	0.0001	0.0302	0.8429	0.8877	0.8153	0.8446
64	0.0001	0.0310	0.8448	0.8824	0.8228	0.8461
65	0.0001	0.0305	0.8455	0.8862	0.8212	0.8470
66	0.0001	0.0303	0.8454	0.8871	0.8200	0.8468
67	0.0001	0.0309	0.8467	0.8847	0.8245	0.8481
68	0.0001	0.0307	0.8475	0.8858	0.8252	0.8489
69	0.0001	0.0305	0.8454	0.8872	0.8201	0.8469
70	0.0001	0.0309	0.8487	0.8855	0.8274	0.8501
71	0.0001	0.0310	0.8486	0.8844	0.8281	0.8499
72	0.0001	0.0300	0.8392	0.8907	0.8065	0.8412
