Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.7067	0.6791	0.1296	0.1481	0.1275	0.1155
2	0.6701	0.6523	0.2252	0.3690	0.1724	0.2252
3	0.6289	0.6234	0.2707	0.4168	0.2098	0.2722
4	0.5641	0.5849	0.3434	0.3914	0.3322	0.3396
5	0.4939	0.5516	0.3893	0.3356	0.5205	0.3985
6	0.4255	0.5507	0.3583	0.2560	0.7144	0.4057
7	0.3612	0.4736	0.4589	0.3934	0.6060	0.4704
8	0.3091	0.4484	0.4775	0.4382	0.5639	0.4807
9	0.2696	0.4298	0.4908	0.4773	0.5401	0.4912
10	0.2340	0.4023	0.5230	0.4310	0.7221	0.5420
11	0.2126	0.3855	0.5394	0.4705	0.6814	0.5503
12	0.1933	0.3907	0.5289	0.4961	0.6040	0.5320
13	0.1827	0.3697	0.5557	0.5011	0.6686	0.5632
14	0.1712	0.3558	0.5711	0.4966	0.7258	0.5843
15	0.1609	0.3526	0.5741	0.4595	0.8329	0.6032
16	0.1539	0.3543	0.5718	0.5131	0.6941	0.5811
17	0.1478	0.3493	0.5782	0.5317	0.6838	0.5863
18	0.1436	0.3442	0.5853	0.5270	0.7079	0.5947
19	0.1381	0.3233	0.6106	0.5138	0.8064	0.6291
20	0.1320	0.3272	0.6060	0.5320	0.7605	0.6190
21	0.1299	0.3207	0.6150	0.5459	0.7536	0.6261
22	0.1228	0.3078	0.6309	0.5465	0.7976	0.6456
23	0.1203	0.3044	0.6359	0.5290	0.8610	0.6584
24	0.1177	0.2962	0.6455	0.5628	0.8004	0.6582
25	0.1177	0.2940	0.6506	0.5511	0.8435	0.6685
26	0.1101	0.2916	0.6528	0.5517	0.8584	0.6732
27	0.1066	0.2859	0.6584	0.5700	0.8300	0.6738
28	0.1041	0.2834	0.6631	0.5879	0.8032	0.6740
29	0.1006	0.2829	0.6640	0.5956	0.7967	0.6748
30	0.0993	0.2790	0.6674	0.5952	0.8012	0.6778
31	0.0945	0.2850	0.6590	0.5615	0.8696	0.6805
32	0.0893	0.2650	0.6850	0.5994	0.8474	0.6986
33	0.0877	0.2587	0.6915	0.6006	0.8623	0.7063
34	0.0839	0.2541	0.6979	0.6089	0.8658	0.7125
35	0.0865	0.2549	0.6979	0.6251	0.8387	0.7100
36	0.0825	0.2519	0.6995	0.6095	0.8718	0.7153
37	0.0807	0.2478	0.7068	0.6345	0.8382	0.7170
38	0.0768	0.2541	0.7008	0.5917	0.9176	0.7227
39	0.0723	0.2440	0.7110	0.6349	0.8577	0.7239
40	0.0699	0.2395	0.7168	0.6432	0.8518	0.7278
41	0.0693	0.2380	0.7200	0.6270	0.8957	0.7359
42	0.0672	0.2331	0.7252	0.6370	0.8882	0.7392
43	0.0651	0.2283	0.7309	0.6596	0.8540	0.7398
44	0.0640	0.2261	0.7355	0.6655	0.8568	0.7444
45	0.0590	0.2231	0.7376	0.6665	0.8558	0.7456
46	0.0594	0.2234	0.7367	0.6524	0.8864	0.7492
47	0.0547	0.2414	0.7172	0.6117	0.9172	0.7364
48	0.0521	0.2142	0.7471	0.6785	0.8642	0.7554
49	0.0510	0.2124	0.7547	0.6742	0.8935	0.7656
50	0.0463	0.2093	0.7559	0.6876	0.8692	0.7636
51	0.0460	0.2095	0.7563	0.6932	0.8666	0.7644
52	0.0423	0.2029	0.7632	0.6989	0.8744	0.7703
53	0.0410	0.1979	0.7699	0.6982	0.8899	0.7787
54	0.0397	0.1946	0.7737	0.7068	0.8898	0.7820
55	0.0364	0.2056	0.7611	0.6702	0.9137	0.7732
56	0.0353	0.1873	0.7829	0.7007	0.9251	0.7942
57	0.0347	0.1811	0.7905	0.7244	0.8957	0.7971
58	0.0324	0.1809	0.7908	0.7118	0.9204	0.8003
59	0.0315	0.1750	0.7957	0.7328	0.8997	0.8027
60	0.0280	0.1720	0.8010	0.7355	0.9069	0.8081
61	0.0287	0.1730	0.8015	0.7399	0.9032	0.8085
62	0.0271	0.1726	0.8033	0.7544	0.8879	0.8089
63	0.0265	0.1629	0.8095	0.7475	0.9141	0.8170
64	0.0233	0.1791	0.7945	0.7137	0.9292	0.8050
65	0.0224	0.1632	0.8149	0.7563	0.9083	0.8208
66	0.0216	0.1640	0.8125	0.7582	0.8984	0.8175
67	0.0213	0.1668	0.8104	0.7431	0.9192	0.8179
68	0.0206	0.1681	0.8092	0.7515	0.9067	0.8161
69	0.0205	0.1490	0.8294	0.7755	0.9180	0.8350
70	0.0185	0.1772	0.8003	0.7268	0.9222	0.8093
71	0.0199	0.1563	0.8204	0.7992	0.8622	0.8227
72	0.0163	0.1465	0.8349	0.7762	0.9266	0.8405
73	0.0166	0.1491	0.8315	0.7775	0.9169	0.8367
74	0.0141	0.1493	0.8312	0.8237	0.8589	0.8334
75	0.0144	0.1391	0.8430	0.8110	0.8955	0.8456
