Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.9329	0.9066	0.0878	0.4972	0.0497	0.0977
2	0.9008	0.8811	0.0963	0.4677	0.0572	0.1025
3	0.8611	0.8569	0.1164	0.4240	0.0738	0.1197
4	0.8311	0.8441	0.1293	0.3986	0.0850	0.1316
5	0.8054	0.8395	0.1047	0.5209	0.0624	0.1186
6	0.7793	0.8244	0.1238	0.4306	0.0815	0.1283
7	0.7552	0.8088	0.1401	0.4390	0.0933	0.1479
8	0.7313	0.7961	0.1840	0.4307	0.1294	0.1933
9	0.7108	0.7854	0.1673	0.4648	0.1135	0.1792
10	0.6922	0.7753	0.1512	0.4863	0.1018	0.1646
11	0.6754	0.7675	0.1294	0.5379	0.0816	0.1476
12	0.6602	0.7505	0.2030	0.4762	0.1468	0.2160
13	0.6494	0.7439	0.1942	0.4716	0.1440	0.2065
14	0.6387	0.7387	0.2072	0.4898	0.1592	0.2211
15	0.6295	0.7237	0.2341	0.5123	0.1701	0.2505
16	0.6211	0.7176	0.2236	0.5097	0.1665	0.2408
17	0.6130	0.7142	0.1547	0.5392	0.1041	0.1749
18	0.6071	0.7034	0.2151	0.5653	0.1497	0.2409
19	0.6013	0.7004	0.2024	0.5864	0.1384	0.2321
20	0.5920	0.6878	0.2565	0.5473	0.1971	0.2791
21	0.5865	0.6820	0.1931	0.5843	0.1357	0.2222
22	0.5829	0.6782	0.2150	0.6044	0.1502	0.2466
23	0.5797	0.6727	0.2688	0.5861	0.1997	0.2939
24	0.5774	0.6679	0.3611	0.5806	0.2881	0.3771
25	0.5744	0.6652	0.2995	0.6099	0.2214	0.3270
26	0.5729	0.6636	0.2656	0.6169	0.1913	0.2976
27	0.5706	0.6634	0.3531	0.6157	0.2716	0.3754
28	0.5688	0.6607	0.2637	0.6281	0.1933	0.2962
29	0.5652	0.6545	0.3611	0.6233	0.2805	0.3839
30	0.5635	0.6538	0.3335	0.6237	0.2522	0.3599
31	0.5622	0.6517	0.3187	0.6265	0.2401	0.3474
32	0.5607	0.6503	0.3387	0.6307	0.2564	0.3654
33	0.5601	0.6507	0.3070	0.6466	0.2238	0.3398
34	0.5583	0.6477	0.3428	0.6345	0.2621	0.3697
35	0.5575	0.6483	0.3517	0.6426	0.2657	0.3786
36	0.5567	0.6472	0.3562	0.6397	0.2714	0.3821
37	0.5559	0.6476	0.3266	0.6443	0.2437	0.3568
38	0.5555	0.6462	0.4162	0.6387	0.3353	0.4340
39	0.5548	0.6451	0.3922	0.6360	0.3102	0.4128
40	0.5546	0.6441	0.3907	0.6399	0.3071	0.4121
41	0.5540	0.6468	0.3781	0.6465	0.2919	0.4020
42	0.5536	0.6427	0.4356	0.6353	0.3594	0.4505
43	0.5530	0.6431	0.3926	0.6345	0.3116	0.4129
44	0.5527	0.6428	0.4050	0.6350	0.3254	0.4239
45	0.5526	0.6448	0.3376	0.6475	0.2530	0.3670
46	0.5523	0.6434	0.4015	0.6439	0.3180	0.4220
47	0.5520	0.6435	0.4066	0.6445	0.3231	0.4265
48	0.5514	0.6423	0.3973	0.6416	0.3144	0.4181
49	0.5515	0.6427	0.3983	0.6439	0.3145	0.4192
50	0.5512	0.6427	0.4052	0.6419	0.3230	0.4250
51	0.5510	0.6448	0.3689	0.6496	0.2827	0.3947
52	0.5509	0.6413	0.4229	0.6412	0.3429	0.4402
