Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.0152	0.0131	0.0039	0.0020	0.1876	0.0159
2	0.0117	0.0114	0.1104	0.0749	0.2691	0.1282
3	0.0102	0.0108	0.2226	0.2274	0.2409	0.2142
4	0.0089	0.0105	0.2515	0.2624	0.2713	0.2455
5	0.0076	0.0119	0.2046	0.1469	0.4351	0.2326
6	0.0064	0.0100	0.3306	0.3415	0.3593	0.3279
7	0.0052	0.0103	0.3647	0.3524	0.4185	0.3640
8	0.0042	0.0091	0.4303	0.4413	0.4482	0.4269
9	0.0034	0.0087	0.4748	0.5192	0.4626	0.4727
10	0.0028	0.0089	0.5246	0.5121	0.5659	0.5235
11	0.0021	0.0066	0.5536	0.7112	0.4679	0.5615
12	0.0018	0.0081	0.6084	0.5908	0.6528	0.6085
13	0.0014	0.0076	0.6312	0.6470	0.6404	0.6309
14	0.0012	0.0103	0.6240	0.5406	0.7805	0.6365
15	0.0009	0.0079	0.6862	0.6543	0.7458	0.6880
16	0.0008	0.0079	0.6768	0.6536	0.7250	0.6778
17	0.0007	0.0069	0.7207	0.7306	0.7300	0.7207
18	0.0006	0.0072	0.7181	0.7323	0.7287	0.7195
19	0.0006	0.0081	0.7220	0.6708	0.8095	0.7268
20	0.0006	0.0062	0.7467	0.7780	0.7380	0.7479
21	0.0005	0.0066	0.7436	0.7935	0.7191	0.7454
22	0.0003	0.0068	0.7751	0.7646	0.8062	0.7766
23	0.0003	0.0069	0.7843	0.7694	0.8172	0.7853
24	0.0003	0.0090	0.7125	0.6793	0.7787	0.7161
25	0.0006	0.0071	0.7639	0.7469	0.8031	0.7656
26	0.0003	0.0063	0.7808	0.8002	0.7786	0.7814
27	0.0005	0.0066	0.7310	0.7746	0.7083	0.7314
28	0.0003	0.0071	0.7929	0.7873	0.8200	0.7949
29	0.0002	0.0071	0.8009	0.7916	0.8279	0.8021
30	0.0002	0.0077	0.8045	0.7695	0.8626	0.8072
31	0.0001	0.0067	0.8127	0.8068	0.8359	0.8140
32	0.0001	0.0078	0.8102	0.7761	0.8668	0.8128
33	0.0001	0.0078	0.8137	0.7854	0.8647	0.8164
34	0.0001	0.0081	0.8083	0.7683	0.8741	0.8117
35	0.0002	0.0073	0.8113	0.7990	0.8411	0.8126
36	0.0001	0.0071	0.8229	0.8106	0.8541	0.8248
37	0.0001	0.0077	0.8187	0.7963	0.8603	0.8206
38	0.0001	0.0078	0.8147	0.8080	0.8405	0.8165
39	0.0002	0.0066	0.7745	0.8444	0.7322	0.7773
40	0.0001	0.0077	0.8192	0.8039	0.8545	0.8212
41	0.0001	0.0078	0.8237	0.8114	0.8555	0.8257
42	0.0001	0.0077	0.8285	0.8133	0.8622	0.8304
43	0.0001	0.0081	0.8286	0.8121	0.8632	0.8304
44	0.0001	0.0082	0.8284	0.7956	0.8816	0.8308
45	0.0001	0.0074	0.8250	0.8122	0.8541	0.8263
46	0.0001	0.0081	0.8271	0.8043	0.8714	0.8298
47	0.0001	0.0076	0.8344	0.8291	0.8548	0.8355
48	0.0001	0.0080	0.8321	0.8161	0.8666	0.8341
49	0.0000	0.0085	0.8311	0.7994	0.8834	0.8337
50	0.0000	0.0079	0.8363	0.8211	0.8687	0.8380
51	0.0000	0.0079	0.8365	0.8254	0.8631	0.8378
52	0.0000	0.0080	0.8350	0.8222	0.8644	0.8366
53	0.0000	0.0081	0.8322	0.8143	0.8695	0.8344
54	0.0000	0.0080	0.8326	0.8193	0.8629	0.8343
55	0.0000	0.0083	0.8329	0.8168	0.8665	0.8347
56	0.0000	0.0086	0.8328	0.8056	0.8798	0.8352
57	0.0000	0.0084	0.8318	0.8099	0.8725	0.8339
58	0.0000	0.0085	0.8320	0.8124	0.8706	0.8342
59	0.0000	0.0080	0.8371	0.8283	0.8619	0.8386
60	0.0000	0.0083	0.8368	0.8224	0.8678	0.8384
61	0.0000	0.0090	0.8315	0.8025	0.8820	0.8343
62	0.0000	0.0083	0.8374	0.8223	0.8700	0.8392
63	0.0000	0.0086	0.8318	0.8113	0.8722	0.8341
64	0.0000	0.0085	0.8359	0.8174	0.8729	0.8380
65	0.0000	0.0083	0.8384	0.8279	0.8655	0.8400
66	0.0000	0.0085	0.8361	0.8190	0.8715	0.8381
67	0.0000	0.0087	0.8340	0.8117	0.8770	0.8366
68	0.0000	0.0089	0.8336	0.8043	0.8849	0.8365
69	0.0000	0.0087	0.8353	0.8159	0.8745	0.8377
70	0.0000	0.0087	0.8366	0.8164	0.8756	0.8388
71	0.0000	0.0089	0.8344	0.8093	0.8803	0.8370
72	0.0000	0.0089	0.8345	0.8103	0.8789	0.8370
73	0.0000	0.0087	0.8341	0.8156	0.8710	0.8361
74	0.0000	0.0090	0.8342	0.8059	0.8839	0.8370
75	0.0000	0.0086	0.8388	0.8235	0.8719	0.8407
76	0.0000	0.0086	0.8380	0.8220	0.8719	0.8399
77	0.0000	0.0089	0.8365	0.8118	0.8809	0.8389
78	0.0000	0.0089	0.8356	0.8120	0.8786	0.8379
79	0.0000	0.0088	0.8373	0.8159	0.8776	0.8395
80	0.0000	0.0089	0.8371	0.8113	0.8828	0.8396
81	0.0000	0.0091	0.8350	0.8072	0.8833	0.8376
82	0.0000	0.0088	0.8363	0.8159	0.8760	0.8386
83	0.0000	0.0090	0.8359	0.8124	0.8792	0.8383
84	0.0000	0.0091	0.8343	0.8042	0.8860	0.8371
85	0.0000	0.0092	0.8344	0.8063	0.8839	0.8372
