Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.9063	0.8820	0.0901	0.5478	0.0502	0.1082
2	0.8701	0.8526	0.1127	0.5145	0.0665	0.1297
3	0.8306	0.8365	0.1261	0.5023	0.0770	0.1432
4	0.7988	0.8164	0.1303	0.5870	0.0763	0.1611
5	0.7695	0.8018	0.1555	0.4978	0.0986	0.1742
6	0.7433	0.7940	0.1396	0.5668	0.0846	0.1671
7	0.7171	0.7845	0.2007	0.4619	0.1373	0.2139
8	0.6930	0.7627	0.1863	0.5725	0.1182	0.2169
9	0.6731	0.7592	0.1691	0.5423	0.1092	0.1933
10	0.6528	0.7530	0.1732	0.5365	0.1151	0.1946
11	0.6368	0.7262	0.2392	0.5967	0.1603	0.2700
12	0.6227	0.7161	0.2702	0.5526	0.1940	0.2903
13	0.6106	0.7038	0.2896	0.5636	0.2122	0.3094
14	0.5999	0.6947	0.2455	0.6145	0.1674	0.2774
15	0.5913	0.6897	0.2865	0.5702	0.2117	0.3079
16	0.5836	0.6782	0.2709	0.6295	0.1884	0.3038
17	0.5768	0.6720	0.2830	0.6573	0.1943	0.3190
18	0.5664	0.6632	0.2652	0.6251	0.1909	0.2962
19	0.5608	0.6549	0.3131	0.6560	0.2235	0.3454
20	0.5574	0.6536	0.3897	0.6278	0.3041	0.4086
21	0.5541	0.6476	0.2781	0.6686	0.1945	0.3150
22	0.5513	0.6418	0.3379	0.6741	0.2453	0.3711
23	0.5492	0.6383	0.3796	0.6605	0.2900	0.4055
24	0.5473	0.6364	0.3455	0.6790	0.2524	0.3787
25	0.5440	0.6305	0.3698	0.7052	0.2687	0.4041
26	0.5417	0.6267	0.3564	0.7080	0.2597	0.3930
27	0.5407	0.6258	0.3278	0.6980	0.2389	0.3656
28	0.5394	0.6246	0.3056	0.7227	0.2140	0.3496
29	0.5380	0.6233	0.3256	0.7256	0.2301	0.3683
30	0.5370	0.6215	0.3651	0.7163	0.2657	0.4017
