Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.4819	0.4681	0.1509	0.3372	0.1019	0.1520
2	0.4549	0.4368	0.2325	0.4037	0.1710	0.2361
3	0.4129	0.4104	0.2943	0.3508	0.2722	0.2880
4	0.3577	0.4060	0.2791	0.4639	0.2074	0.2861
5	0.3078	0.3634	0.3706	0.3516	0.4300	0.3702
6	0.2635	0.3494	0.3862	0.3023	0.6249	0.4138
7	0.2280	0.3229	0.4272	0.3581	0.5833	0.4401
8	0.2020	0.3112	0.4422	0.4193	0.5013	0.4422
9	0.1804	0.3111	0.4402	0.3303	0.7521	0.4802
10	0.1653	0.2845	0.4880	0.4021	0.6766	0.5058
11	0.1537	0.2787	0.4961	0.4343	0.6297	0.5061
12	0.1404	0.2709	0.5098	0.4466	0.6478	0.5206
13	0.1327	0.2682	0.5145	0.4007	0.8061	0.5496
14	0.1242	0.2582	0.5330	0.4542	0.6957	0.5469
15	0.1203	0.2495	0.5488	0.4461	0.7838	0.5744
16	0.1155	0.2477	0.5526	0.4703	0.7209	0.5673
17	0.1107	0.2436	0.5603	0.4533	0.8035	0.5870
18	0.1065	0.2362	0.5737	0.4703	0.7976	0.5970
19	0.1035	0.2389	0.5696	0.4578	0.8376	0.6001
20	0.0991	0.2335	0.5792	0.4722	0.8231	0.6058
21	0.0985	0.2422	0.5631	0.4360	0.8907	0.6042
22	0.0933	0.2204	0.6038	0.4993	0.8235	0.6262
23	0.0920	0.2215	0.6010	0.5178	0.7734	0.6169
24	0.0877	0.2326	0.5809	0.4598	0.8832	0.6179
25	0.0878	0.2151	0.6132	0.5121	0.8287	0.6355
26	0.0849	0.2095	0.6242	0.5348	0.8075	0.6417
27	0.0807	0.2074	0.6279	0.5185	0.8642	0.6532
28	0.0785	0.2038	0.6347	0.5290	0.8615	0.6587
29	0.0772	0.2001	0.6425	0.5492	0.8283	0.6600
30	0.0749	0.1988	0.6436	0.5412	0.8537	0.6646
31	0.0733	0.1937	0.6535	0.5671	0.8207	0.6683
32	0.0704	0.2055	0.6312	0.5114	0.9050	0.6630
33	0.0707	0.1970	0.6476	0.5904	0.7597	0.6556
34	0.0682	0.1926	0.6558	0.5908	0.7786	0.6649
35	0.0667	0.1876	0.6645	0.5876	0.8072	0.6758
36	0.0673	0.1877	0.6652	0.5645	0.8698	0.6856
37	0.0640	0.1836	0.6721	0.5807	0.8523	0.6892
38	0.0601	0.1831	0.6738	0.5802	0.8605	0.6918
39	0.0621	0.1796	0.6795	0.6001	0.8296	0.6923
40	0.0587	0.1795	0.6798	0.5781	0.8833	0.7001
41	0.0588	0.1769	0.6843	0.5892	0.8738	0.7024
42	0.0565	0.1741	0.6897	0.5872	0.9007	0.7113
43	0.0558	0.1735	0.6906	0.5902	0.8914	0.7104
44	0.0545	0.1727	0.6913	0.5895	0.8990	0.7123
45	0.0558	0.1667	0.7033	0.6216	0.8596	0.7170
46	0.0541	0.1699	0.6983	0.6033	0.8887	0.7165
47	0.0523	0.1719	0.6946	0.6006	0.8893	0.7142
48	0.0522	0.1717	0.6951	0.5832	0.9242	0.7192
49	0.0496	0.1704	0.6963	0.5967	0.9057	0.7177
50	0.0470	0.1626	0.7111	0.6084	0.9129	0.7311
51	0.0461	0.1593	0.7173	0.6193	0.9069	0.7356
52	0.0461	0.1641	0.7079	0.6063	0.9197	0.7299
53	0.0440	0.1561	0.7230	0.6383	0.8810	0.7369
54	0.0455	0.1543	0.7261	0.6387	0.8893	0.7407
55	0.0426	0.1539	0.7269	0.6316	0.9095	0.7438
56	0.0453	0.1568	0.7227	0.6362	0.8880	0.7379
57	0.0435	0.1580	0.7193	0.6223	0.9075	0.7374
58	0.0431	0.1527	0.7302	0.6346	0.9100	0.7468
