Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.4854	0.4724	0.1502	0.2726	0.1101	0.1433
2	0.4642	0.4514	0.2429	0.3504	0.1973	0.2387
3	0.4325	0.4285	0.2756	0.4005	0.2228	0.2749
4	0.3823	0.4034	0.3005	0.4648	0.2318	0.3051
5	0.3278	0.3830	0.3602	0.2944	0.5270	0.3755
6	0.2801	0.3473	0.4135	0.3572	0.5392	0.4218
7	0.2376	0.3222	0.4425	0.4354	0.4787	0.4403
8	0.2063	0.3088	0.4573	0.4425	0.5085	0.4574
9	0.1827	0.2973	0.4742	0.4238	0.5780	0.4795
10	0.1597	0.2835	0.4960	0.4089	0.6893	0.5148
11	0.1465	0.2720	0.5121	0.4292	0.6892	0.5283
12	0.1343	0.2608	0.5307	0.4549	0.6947	0.5447
13	0.1233	0.2511	0.5476	0.4641	0.7214	0.5634
14	0.1154	0.2463	0.5553	0.4657	0.7500	0.5742
15	0.1127	0.2421	0.5626	0.4895	0.7111	0.5747
16	0.1064	0.2520	0.5439	0.4183	0.8593	0.5829
17	0.1005	0.2335	0.5781	0.4666	0.8307	0.6063
18	0.0972	0.2334	0.5777	0.5399	0.6587	0.5819
19	0.0936	0.2221	0.5993	0.4959	0.8182	0.6219
20	0.0894	0.2207	0.6022	0.4882	0.8502	0.6285
21	0.0865	0.2085	0.6249	0.5344	0.8052	0.6414
22	0.0827	0.2081	0.6258	0.5414	0.7816	0.6382
23	0.0808	0.2065	0.6290	0.5529	0.7704	0.6398
24	0.0794	0.2031	0.6355	0.5413	0.8224	0.6531
25	0.0767	0.2016	0.6380	0.5294	0.8685	0.6620
26	0.0745	0.1964	0.6478	0.5730	0.7933	0.6601
27	0.0724	0.1935	0.6533	0.5681	0.8188	0.6680
28	0.0696	0.1966	0.6477	0.5355	0.8859	0.6732
29	0.0684	0.1880	0.6632	0.5913	0.7973	0.6737
30	0.0658	0.1810	0.6767	0.5974	0.8283	0.6897
31	0.0649	0.1802	0.6787	0.5775	0.8759	0.6976
32	0.0642	0.1785	0.6813	0.5922	0.8583	0.6975
33	0.0613	0.1788	0.6803	0.5924	0.8597	0.6976
34	0.0604	0.1757	0.6866	0.6032	0.8544	0.7023
35	0.0593	0.1810	0.6763	0.6194	0.7895	0.6855
36	0.0575	0.1757	0.6864	0.5974	0.8635	0.7032
37	0.0588	0.1759	0.6864	0.5934	0.8709	0.7041
38	0.0563	0.1730	0.6924	0.5917	0.8895	0.7115
39	0.0544	0.1718	0.6940	0.6371	0.8034	0.7024
40	0.0546	0.1687	0.6993	0.6419	0.8119	0.7083
41	0.0525	0.1700	0.6974	0.6414	0.8022	0.7050
42	0.0525	0.1674	0.7019	0.6114	0.8791	0.7186
43	0.0490	0.1632	0.7095	0.6032	0.9152	0.7298
44	0.0486	0.1654	0.7061	0.6149	0.8873	0.7232
45	0.0491	0.1620	0.7109	0.6316	0.8678	0.7248
46	0.0486	0.1591	0.7174	0.6274	0.8832	0.7321
47	0.0490	0.1731	0.6926	0.5880	0.9024	0.7141
48	0.0490	0.1621	0.7120	0.6348	0.8682	0.7262
49	0.0464	0.1691	0.6976	0.6011	0.8903	0.7168
50	0.0457	0.1535	0.7272	0.6400	0.8913	0.7422
51	0.0446	0.1555	0.7236	0.6343	0.8920	0.7389
52	0.0442	0.1555	0.7232	0.6593	0.8475	0.7334
53	0.0452	0.1551	0.7249	0.6461	0.8741	0.7382
54	0.0457	0.1523	0.7297	0.6393	0.9003	0.7457
55	0.0447	0.1549	0.7256	0.6365	0.8889	0.7400
56	0.0420	0.1543	0.7262	0.6460	0.8811	0.7405
57	0.0425	0.1513	0.7319	0.6538	0.8789	0.7449
58	0.0406	0.1500	0.7337	0.6707	0.8522	0.7434
59	0.0431	0.1504	0.7339	0.6406	0.9093	0.7502
60	0.0419	0.1470	0.7394	0.6575	0.8929	0.7531
61	0.0392	0.1531	0.7288	0.6365	0.9053	0.7455
62	0.0398	0.1545	0.7270	0.6403	0.8968	0.7427
63	0.0387	0.1461	0.7427	0.6663	0.8806	0.7542
64	0.0389	0.1514	0.7323	0.6392	0.9092	0.7487
65	0.0383	0.1522	0.7311	0.6352	0.9193	0.7492
66	0.0377	0.1469	0.7408	0.6471	0.9181	0.7575
67	0.0369	0.1439	0.7463	0.6631	0.8964	0.7592
68	0.0341	0.1430	0.7467	0.6578	0.9119	0.7618
69	0.0349	0.1425	0.7485	0.6754	0.8815	0.7595
70	0.0342	0.1420	0.7489	0.6647	0.9092	0.7629
71	0.0340	0.1458	0.7440	0.6537	0.9147	0.7600
72	0.0330	0.1431	0.7467	0.6875	0.8531	0.7547
73	0.0342	0.1505	0.7334	0.6426	0.9083	0.7501
74	0.0317	0.1393	0.7551	0.6875	0.8771	0.7649
75	0.0326	0.1357	0.7601	0.6828	0.8959	0.7710
76	0.0300	0.1397	0.7539	0.6655	0.9214	0.7689
77	0.0292	0.1327	0.7670	0.6914	0.9004	0.7779
