Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.4843	0.4560	0.1535	0.4487	0.0958	0.1701
2	0.4358	0.4375	0.1897	0.4666	0.1238	0.2072
3	0.4084	0.4135	0.2387	0.4171	0.1766	0.2436
4	0.3920	0.4051	0.2546	0.3985	0.1986	0.2554
5	0.3841	0.4026	0.2610	0.4276	0.1989	0.2651
6	0.3728	0.4025	0.2631	0.4124	0.2054	0.2650
7	0.3667	0.3889	0.2864	0.3904	0.2426	0.2838
8	0.3575	0.3935	0.2818	0.4309	0.2230	0.2844
9	0.3505	0.3805	0.3024	0.3756	0.2749	0.2983
10	0.3425	0.3780	0.3077	0.3815	0.2784	0.3034
11	0.3355	0.3730	0.3163	0.3637	0.3024	0.3106
12	0.3258	0.3773	0.3111	0.3785	0.2863	0.3067
13	0.3207	0.3689	0.3253	0.3782	0.3101	0.3207
14	0.3129	0.3702	0.3247	0.4053	0.2920	0.3215
15	0.3011	0.3702	0.3257	0.4072	0.2931	0.3228
16	0.2913	0.3705	0.3255	0.4059	0.2952	0.3230
17	0.2846	0.3614	0.3423	0.3996	0.3257	0.3388
18	0.2751	0.3587	0.3463	0.3941	0.3351	0.3422
19	0.2693	0.3499	0.3619	0.3793	0.3818	0.3594
20	0.2613	0.3435	0.3740	0.3813	0.4060	0.3727
21	0.2557	0.3472	0.3686	0.4154	0.3621	0.3661
22	0.2467	0.3506	0.3623	0.4073	0.3568	0.3596
23	0.2432	0.3553	0.3565	0.4454	0.3196	0.3552
24	0.2380	0.3475	0.3684	0.4152	0.3576	0.3649
25	0.2308	0.3385	0.3828	0.3957	0.4084	0.3814
26	0.2270	0.3355	0.3883	0.3820	0.4376	0.3886
27	0.2247	0.3367	0.3850	0.3451	0.4932	0.3923
28	0.2217	0.3354	0.3887	0.3810	0.4389	0.3890
29	0.2182	0.3318	0.3945	0.3643	0.4812	0.3989
30	0.2179	0.3343	0.3920	0.4074	0.4153	0.3907
31	0.2140	0.3327	0.3935	0.3747	0.4638	0.3964
32	0.2143	0.3321	0.3949	0.3959	0.4324	0.3941
33	0.2117	0.3311	0.3968	0.3933	0.4402	0.3965
34	0.2098	0.3302	0.3988	0.4065	0.4292	0.3977
35	0.2088	0.3391	0.3848	0.4422	0.3684	0.3826
36	0.2056	0.3323	0.3954	0.4078	0.4220	0.3944
37	0.2036	0.3311	0.3981	0.4253	0.4104	0.3968
38	0.2009	0.3254	0.4068	0.3945	0.4660	0.4085
39	0.1998	0.3257	0.4072	0.4032	0.4530	0.4076
40	0.1984	0.3271	0.4040	0.3893	0.4664	0.4060
41	0.1965	0.3234	0.4106	0.3813	0.4979	0.4155
42	0.1956	0.3257	0.4066	0.3839	0.4822	0.4102
43	0.1950	0.3231	0.4119	0.4000	0.4691	0.4134
44	0.1935	0.3235	0.4120	0.4028	0.4691	0.4138
45	0.1919	0.3211	0.4154	0.3969	0.4870	0.4189
46	0.1892	0.3280	0.4014	0.3462	0.5509	0.4153
47	0.1876	0.3241	0.4092	0.3588	0.5369	0.4194
