Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.4798	0.4661	0.1432	0.3221	0.0964	0.1426
2	0.4594	0.4548	0.1670	0.4065	0.1101	0.1772
3	0.4231	0.4292	0.2259	0.3085	0.1888	0.2184
4	0.3703	0.4075	0.2709	0.2854	0.2836	0.2642
5	0.3221	0.3901	0.2973	0.3218	0.2951	0.2893
6	0.2818	0.3713	0.3296	0.3092	0.3824	0.3267
7	0.2493	0.3598	0.3482	0.3232	0.4098	0.3469
8	0.2250	0.3629	0.3382	0.2368	0.7238	0.3921
9	0.2086	0.3352	0.3918	0.3163	0.5658	0.4074
10	0.1914	0.3398	0.3823	0.3599	0.4394	0.3808
11	0.1819	0.3255	0.4077	0.2961	0.7360	0.4504
12	0.1741	0.3248	0.4088	0.2901	0.8151	0.4657
13	0.1655	0.3085	0.4406	0.3637	0.6076	0.4548
14	0.1624	0.3050	0.4469	0.3760	0.5991	0.4590
15	0.1565	0.2968	0.4625	0.3696	0.6775	0.4848
16	0.1517	0.3096	0.4388	0.4009	0.5217	0.4412
17	0.1478	0.2873	0.4806	0.3765	0.7335	0.5093
18	0.1452	0.3002	0.4566	0.4061	0.5571	0.4608
19	0.1407	0.2876	0.4805	0.3995	0.6551	0.4960
20	0.1416	0.2843	0.4869	0.3959	0.6844	0.5058
21	0.1392	0.2830	0.4893	0.3983	0.6797	0.5067
22	0.1370	0.2756	0.5031	0.4001	0.7358	0.5277
23	0.1363	0.2761	0.5026	0.4117	0.6931	0.5202
24	0.1322	0.2723	0.5095	0.4080	0.7406	0.5341
25	0.1314	0.2732	0.5081	0.3785	0.8551	0.5530
26	0.1290	0.2681	0.5180	0.4055	0.7826	0.5483
27	0.1293	0.2969	0.4646	0.4439	0.5249	0.4656
28	0.1281	0.2660	0.5218	0.4137	0.7645	0.5479
29	0.1279	0.2612	0.5315	0.4113	0.8159	0.5648
30	0.1238	0.2610	0.5312	0.4323	0.7471	0.5531
31	0.1248	0.2600	0.5325	0.4292	0.7611	0.5564
32	0.1234	0.2565	0.5402	0.4156	0.8479	0.5774
33	0.1210	0.2511	0.5506	0.4233	0.8613	0.5885
34	0.1219	0.2531	0.5456	0.4370	0.7828	0.5706
35	0.1207	0.2591	0.5343	0.4406	0.7306	0.5529
36	0.1189	0.2557	0.5402	0.4437	0.7404	0.5592
37	0.1183	0.2502	0.5521	0.4201	0.8819	0.5932
38	0.1185	0.2481	0.5552	0.4402	0.8176	0.5841
39	0.1170	0.2560	0.5407	0.4542	0.7170	0.5561
40	0.1170	0.2587	0.5349	0.4586	0.6870	0.5469
41	0.1159	0.2434	0.5643	0.4510	0.8155	0.5917
42	0.1138	0.2663	0.5212	0.4640	0.6347	0.5279
43	0.1152	0.2437	0.5645	0.4560	0.8027	0.5898
44	0.1167	0.2446	0.5620	0.4354	0.8621	0.5976
45	0.1131	0.2413	0.5675	0.4542	0.8213	0.5954
46	0.1122	0.2454	0.5596	0.4679	0.7583	0.5787
47	0.1127	0.2373	0.5754	0.4538	0.8565	0.6075
48	0.1128	0.2367	0.5757	0.4490	0.8758	0.6112
49	0.1100	0.2407	0.5695	0.4648	0.7907	0.5919
50	0.1112	0.2418	0.5669	0.4685	0.7731	0.5870
51	0.1097	0.2385	0.5739	0.4663	0.8043	0.5979
52	0.1082	0.2335	0.5831	0.4682	0.8426	0.6116
53	0.1083	0.2355	0.5795	0.4680	0.8220	0.6051
54	0.1064	0.2420	0.5663	0.4731	0.7535	0.5833
55	0.1067	0.2345	0.5828	0.4778	0.8095	0.6061
56	0.1065	0.2386	0.5733	0.4798	0.7676	0.5915
57	0.1037	0.2295	0.5909	0.4783	0.8420	0.6182
58	0.1021	0.2271	0.5949	0.4800	0.8541	0.6232
59	0.1009	0.2257	0.5983	0.4766	0.8745	0.6297
60	0.1014	0.2266	0.5963	0.4839	0.8397	0.6220
61	0.1005	0.2298	0.5912	0.4856	0.8204	0.6152
62	0.0993	0.2286	0.5936	0.4895	0.8196	0.6169
63	0.0990	0.2246	0.6012	0.4850	0.8556	0.6290
64	0.0992	0.2294	0.5923	0.4924	0.7988	0.6124
65	0.0983	0.2231	0.6036	0.4896	0.8511	0.6302
66	0.0984	0.2212	0.6064	0.4934	0.8469	0.6318
67	0.0975	0.2230	0.6042	0.4957	0.8348	0.6281
68	0.0979	0.2247	0.6012	0.4968	0.8182	0.6230
69	0.0973	0.2188	0.6113	0.4954	0.8618	0.6384
70	0.0970	0.2207	0.6082	0.4961	0.8491	0.6337
71	0.0956	0.2198	0.6103	0.4993	0.8456	0.6347
72	0.0956	0.2171	0.6148	0.4996	0.8608	0.6411
73	0.0962	0.2169	0.6150	0.5009	0.8545	0.6400
74	0.0935	0.2176	0.6132	0.5000	0.8539	0.6386
75	0.0946	0.2182	0.6132	0.5013	0.8526	0.6384
76	0.0937	0.2178	0.6138	0.5007	0.8529	0.6388
77	0.0933	0.2187	0.6115	0.5039	0.8405	0.6344
78	0.0933	0.2122	0.6223	0.5044	0.8733	0.6492
79	0.0911	0.2129	0.6225	0.5042	0.8774	0.6502
80	0.0913	0.2135	0.6213	0.5087	0.8570	0.6458
81	0.0907	0.2107	0.6267	0.5029	0.8952	0.6564
82	0.0923	0.2096	0.6279	0.5103	0.8760	0.6543
83	0.0891	0.2119	0.6251	0.5090	0.8746	0.6520
84	0.0888	0.2102	0.6279	0.5118	0.8720	0.6537
85	0.0887	0.2100	0.6278	0.5133	0.8687	0.6531
86	0.0868	0.2119	0.6247	0.5158	0.8467	0.6469
87	0.0878	0.2081	0.6321	0.5153	0.8751	0.6576
88	0.0865	0.2076	0.6330	0.5155	0.8770	0.6586
89	0.0853	0.2092	0.6293	0.5188	0.8546	0.6520
90	0.0846	0.2083	0.6324	0.5177	0.8716	0.6574
91	0.0853	0.2076	0.6328	0.5180	0.8697	0.6573
92	0.0839	0.2074	0.6338	0.5184	0.8734	0.6588
93	0.0837	0.2079	0.6325	0.5208	0.8614	0.6558
94	0.0841	0.2060	0.6362	0.5187	0.8820	0.6622
95	0.0815	0.2057	0.6366	0.5220	0.8714	0.6607
96	0.0818	0.2052	0.6372	0.5218	0.8745	0.6617
97	0.0800	0.2071	0.6341	0.5250	0.8527	0.6556
98	0.0799	0.2055	0.6373	0.5253	0.8647	0.6603
99	0.0801	0.2030	0.6410	0.5254	0.8774	0.6653
100	0.0795	0.2030	0.6409	0.5269	0.8729	0.6645
101	0.0789	0.2038	0.6408	0.5280	0.8687	0.6637
102	0.0791	0.2025	0.6420	0.5297	0.8685	0.6648
103	0.0790	0.2038	0.6406	0.5301	0.8624	0.6626
