Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.4825	0.4790	0.0741	0.0914	0.0703	0.0566
2	0.4763	0.4612	0.1308	0.1506	0.1285	0.1164
3	0.4540	0.4486	0.1607	0.2717	0.1208	0.1526
4	0.4466	0.4471	0.1647	0.3031	0.1194	0.1603
5	0.4425	0.4435	0.1714	0.2511	0.1393	0.1610
6	0.4383	0.4407	0.1783	0.2325	0.1565	0.1666
7	0.4356	0.4395	0.1810	0.2122	0.1730	0.1690
8	0.4323	0.4400	0.1807	0.2325	0.1596	0.1689
9	0.4298	0.4371	0.1851	0.2451	0.1597	0.1738
10	0.4258	0.4383	0.1838	0.2219	0.1712	0.1719
11	0.4211	0.4449	0.1701	0.1592	0.2152	0.1644
12	0.4163	0.4393	0.1845	0.2498	0.1575	0.1737
13	0.4129	0.4445	0.1734	0.1710	0.2026	0.1657
14	0.4040	0.4436	0.1752	0.1907	0.1880	0.1662
15	0.3995	0.4427	0.1769	0.1952	0.1890	0.1683
16	0.3989	0.4395	0.1840	0.2138	0.1826	0.1738
17	0.3969	0.4458	0.1705	0.1704	0.2026	0.1645
18	0.3914	0.4421	0.1796	0.1905	0.2002	0.1718
19	0.3899	0.4414	0.1822	0.1921	0.2002	0.1737
